detection_percentage_human_response,detection_percentage_original_gpt_response,detection_percentage_characterized_response
65.21,93.06,100.0
61.41,100.0,100.0
0.0,100.0,100.0
42.92,100.0,0.0
0.0,100.0,68.66
45.29,100.0,100.0
21.52,100.0,100.0
40.81,100.0,0.0
75.86,100.0,100.0
0.0,100.0,100.0
0.0,100.0,70.11
16.58,100.0,100.0
100.0,100.0,100.0
0.0,87.91,0.0
0.0,62.86,0.0
0.0,100.0,0.0
0.0,100.0,100.0
29.22,100.0,0.0
0.0,100.0,72.63
0.0,100.0,0.0
0.0,100.0,0.0
56.12,100.0,100.0
57.44,100.0,100.0
0.0,100.0,100.0
0.0,100.0,100.0
0.0,100.0,0.0
0.0,100.0,0.0
0.0,100.0,0.0
0.0,60.56,0.0
0.0,100.0,54.44
76.22,100.0,100.0
0.0,93.72,0.0
0.0,100.0,100.0
0.0,0.0,0.0
0.0,100.0,0.0
0.0,100.0,0.0
53.39,100.0,100.0
0.0,100.0,0.0
0.0,100.0,100.0
0.0,100.0,0.0
94.63,92.42,0.0
49.15,100.0,0.0
37.17,100.0,100.0
0.0,100.0,0.0
49.78,100.0,0.0
0.0,100.0,100.0
62.02,100.0,0.0
0.0,100.0,100.0
0.0,100.0,0.0
0.0,100.0,100.0
0.0,100.0,0.0
12.91,94.39,0.0
100.0,100.0,0.0
80.16,100.0,0.0
0.0,97.31,0.0
0.0,100.0,0.0
0.0,100.0,0.0
0.0,88.24,0.0
0.0,100.0,0.0
0.0,100.0,67.42
45.22,100.0,0.0
0.0,93.81,0.0
0.0,74.19,70.11
0.0,68.79,0.0
0.0,100.0,46.25
0.0,89.61,0.0
14.09,100.0,0.0
34.21,100.0,100.0
0.0,100.0,100.0
0.0,100.0,100.0
87.31,100.0,0.0
0.0,100.0,0.0
0.0,100.0,0.0
0.0,100.0,0.0
0.0,100.0,0.0
0.0,100.0,68.63
0.0,100.0,0.0
0.0,100.0,0.0
30.75,100.0,0.0
0.0,100.0,0.0
38.1,100.0,0.0
0.0,100.0,60.71
0.0,100.0,78.64
0.0,100.0,0.0
47.43,100.0,100.0
0.0,100.0,100.0
0.0,100.0,100.0
73.74,100.0,0.0
0.0,93.75,0.0
0.0,94.47,100.0
0.0,100.0,100.0
0.0,100.0,0.0
0.0,100.0,100.0
0.0,100.0,0.0
100.0,100.0,73.53
0.0,100.0,0.0
0.0,100.0,0.0
0.0,100.0,0.0
12.38,93.5,0.0
0.0,100.0,0.0
100.0,100.0,0.0
0.0,100.0,0.0
0.0,100.0,100.0
0.0,100.0,100.0
0.0,78.26,0.0
0.0,100.0,100.0
0.0,89.06,28.69
0.0,92.24,0.0
0.0,100.0,0.0
0.0,90.62,28.41
0.0,100.0,0.0
0.0,0.0,34.87
0.0,100.0,0.0
0.0,100.0,0.0
0.0,90.55,0.0
0.0,100.0,0.0
0.0,92.24,0.0
0.0,69.66,0.0
0.0,100.0,0.0
26.61,100.0,100.0
95.21,100.0,0.0
61.58,100.0,58.56
45.45,100.0,100.0
100.0,100.0,0.0
0.0,93.45,0.0
0.0,100.0,0.0
0.0,100.0,0.0
0.0,83.86,0.0
0.0,88.65,0.0
0.0,93.63,0.0
0.0,77.65,68.22
79.41,100.0,0.0
0.0,90.22,0.0
0.0,100.0,0.0
0.0,87.58,0.0
0.0,100.0,0.0
0.0,0.0,0.0
0.0,91.23,0.0
0.0,100.0,43.33
0.0,100.0,0.0
72.58,81.9,0.0
0.0,100.0,0.0
14.09,100.0,0.0
0.0,100.0,100.0
0.0,95.73,0.0
0.0,79.57,0.0
0.0,100.0,0.0
0.0,100.0,52.76
0.0,100.0,0.0
0.0,100.0,0.0
0.0,100.0,0.0
0.0,100.0,0.0
0.0,100.0,0.0
0.0,89.3,61.68
0.0,100.0,0.0
43.92,92.02,0.0
0.0,100.0,100.0
0.0,100.0,0.0
17.89,100.0,0.0
0.0,100.0,100.0
0.0,100.0,0.0
0.0,100.0,0.0
45.29,100.0,100.0
0.0,100.0,100.0
0.0,100.0,100.0
0.0,100.0,100.0
16.58,100.0,100.0
0.0,100.0,0.0
15.1,100.0,100.0
59.2,100.0,100.0
0.0,100.0,0.0
0.0,92.53,69.02
18.48,100.0,100.0
0.0,74.29,40.7
16.91,100.0,0.0
0.0,69.64,0.0
0.0,100.0,100.0
0.0,100.0,0.0
41.05,100.0,100.0
36.74,93.28,0.0
0.0,51.57,0.0
0.0,100.0,0.0
0.0,100.0,0.0
0.0,100.0,0.0
56.12,100.0,100.0
0.0,100.0,0.0
0.0,100.0,100.0
0.0,100.0,58.11
0.0,100.0,0.0
100.0,100.0,0.0
0.0,100.0,78.65
0.0,100.0,100.0
27.31,100.0,0.0
100.0,100.0,0.0
0.0,100.0,0.0
0.0,100.0,100.0
34.33,100.0,0.0
0.0,87.08,72.24
54.56,100.0,0.0
0.0,100.0,0.0
25.67,100.0,64.04
0.0,100.0,46.91
0.0,100.0,81.08
89.44,100.0,0.0
84.58,100.0,0.0
0.0,100.0,0.0
0.0,100.0,100.0
63.94,96.76,0.0
0.0,96.6,0.0
52.38,97.28,0.0
14.64,100.0,21.75
0.0,100.0,0.0
46.73,100.0,100.0
0.0,85.94,0.0
26.73,100.0,0.0
0.0,76.58,0.0
90.37,100.0,0.0
100.0,100.0,0.0
0.0,100.0,0.0
0.0,100.0,0.0
0.0,76.14,32.55
0.0,100.0,100.0
9.89,100.0,100.0
0.0,91.44,0.0
14.09,100.0,0.0
31.53,100.0,0.0
53.08,100.0,0.0
14.09,63.58,0.0
0.0,100.0,0.0
0.0,100.0,0.0
90.48,100.0,0.0
0.0,100.0,100.0
23.85,100.0,0.0
0.0,89.01,0.0
0.0,100.0,100.0
78.98,100.0,0.0
56.25,100.0,100.0
64.97,82.82,0.0
69.68,100.0,100.0
15.88,100.0,100.0
70.31,100.0,0.0
0.0,100.0,0.0
0.0,100.0,100.0
67.12,100.0,0.0
0.0,100.0,58.9
72.25,100.0,0.0
0.0,100.0,100.0
0.0,100.0,0.0
0.0,44.03,0.0
0.0,100.0,0.0
11.83,100.0,100.0
84.55,100.0,100.0
37.14,100.0,100.0
24.31,100.0,100.0
12.53,100.0,100.0
33.89,66.91,100.0
36.14,100.0,100.0
47.48,100.0,0.0
0.0,100.0,82.02
56.16,77.39,0.0
66.67,100.0,0.0
0.0,100.0,0.0
100.0,100.0,0.0
0.0,100.0,64.8
76.19,100.0,0.0
0.0,100.0,0.0
0.0,100.0,0.0
0.0,100.0,0.0
0.0,100.0,0.0
50.19,100.0,28.64
18.22,100.0,100.0
0.0,100.0,100.0
0.0,100.0,0.0
37.92,100.0,0.0
0.0,100.0,0.0
22.18,100.0,54.48
0.0,100.0,0.0
78.34,100.0,100.0
0.0,100.0,0.0
0.0,90.85,0.0
14.97,100.0,100.0
0.0,78.08,0.0
0.0,100.0,61.29
0.0,100.0,49.43
0.0,100.0,0.0
0.0,92.68,0.0
17.89,72.51,38.46
15.04,100.0,100.0
0.0,100.0,0.0
0.0,92.67,0.0
0.0,100.0,0.0
0.0,100.0,0.0
0.0,0.0,0.0
0.0,100.0,100.0
0.0,94.34,0.0
0.0,100.0,52.17
0.0,100.0,100.0
0.0,100.0,0.0
26.68,100.0,0.0
0.0,100.0,58.17
42.42,100.0,0.0
0.0,100.0,100.0
26.75,100.0,0.0
72.79,100.0,0.0
0.0,100.0,0.0
0.0,100.0,0.0
0.0,100.0,0.0
44.96,100.0,0.0
22.76,89.29,0.0
76.99,100.0,0.0
0.0,100.0,100.0
0.0,100.0,0.0
0.0,81.19,0.0
38.1,100.0,0.0
25.11,85.71,0.0
0.0,68.23,0.0
16.65,100.0,0.0
0.0,100.0,0.0
0.0,100.0,0.0
0.0,100.0,0.0
70.66,100.0,100.0
85.14,100.0,0.0
0.0,100.0,0.0
0.0,100.0,0.0
0.0,100.0,0.0
0.0,100.0,0.0
0.0,93.96,74.73
0.0,100.0,100.0
0.0,100.0,0.0
0.0,100.0,0.0
0.0,100.0,100.0
52.55,100.0,0.0
0.0,100.0,100.0
0.0,100.0,67.74
29.86,100.0,0.0
0.0,100.0,57.17
0.0,100.0,0.0
22.98,100.0,100.0
0.0,100.0,100.0
94.22,100.0,0.0
0.0,100.0,0.0
0.0,0.0,100.0
0.0,100.0,100.0
61.14,100.0,100.0
29.03,100.0,100.0
0.0,100.0,66.67
67.52,82.86,0.0
0.0,100.0,100.0
66.59,100.0,59.68
0.0,100.0,0.0
0.0,100.0,0.0
0.0,100.0,0.0
0.0,45.24,0.0
0.0,0.0,0.0
0.0,100.0,0.0
0.0,100.0,0.0
43.45,100.0,100.0
0.0,100.0,0.0
0.0,100.0,100.0
0.0,100.0,100.0
0.0,100.0,0.0
0.0,100.0,100.0
0.0,100.0,100.0
0.0,100.0,0.0
0.0,100.0,0.0
0.0,66.21,0.0
100.0,100.0,100.0
44.48,100.0,50.0
0.0,100.0,0.0
33.41,100.0,0.0
0.0,100.0,100.0
0.0,100.0,80.26
25.67,100.0,100.0
90.5,100.0,100.0
0.0,100.0,100.0
23.56,100.0,100.0
100.0,100.0,0.0
0.0,100.0,100.0
40.4,100.0,53.1
56.89,100.0,1.0
0.0,100.0,0.0
0.0,100.0,0.0
0.0,100.0,63.52
0.0,100.0,100.0
24.58,84.97,100.0
43.18,100.0,0.0
0.0,100.0,0.0
0.0,100.0,0.0
0.0,100.0,0.0
0.0,100.0,0.0
10.41,100.0,0.0
0.0,100.0,0.0
0.0,100.0,60.81
0.0,89.47,0.0
0.0,100.0,100.0
10.41,100.0,30.65
0.0,100.0,64.63
0.0,100.0,100.0
0.0,83.33,0.0
0.0,100.0,61.54
0.0,100.0,100.0
0.0,100.0,100.0
0.0,100.0,0.0
68.1,100.0,0.0
100.0,100.0,100.0
0.0,70.39,0.0
0.0,100.0,0.0
0.0,100.0,58.47
0.0,100.0,100.0
0.0,100.0,0.0
80.16,100.0,100.0
0.0,100.0,0.0
0.0,100.0,55.56
0.0,100.0,0.0
0.0,100.0,0.0
0.0,100.0,0.0
0.0,100.0,0.0
56.52,100.0,100.0
0.0,100.0,0.0
0.0,100.0,100.0
0.0,100.0,100.0
0.0,0.0,0.0
0.0,100.0,0.0
0.0,87.32,50.74
0.0,100.0,0.0
100.0,100.0,0.0
66.11,100.0,43.37
0.0,100.0,72.99
0.0,100.0,0.0
73.31,100.0,100.0
0.0,90.59,0.0
0.0,100.0,100.0
0.0,100.0,73.01
0.0,100.0,0.0
0.0,100.0,100.0
9.57,90.34,43.9
0.0,100.0,0.0
14.97,100.0,39.59
0.0,100.0,0.0
0.0,100.0,0.0
27.71,88.38,0.0
0.0,100.0,100.0
14.97,100.0,100.0
0.0,100.0,100.0
0.0,88.89,0.0
0.0,90.41,0.0
0.0,100.0,82.26
23.17,100.0,50.55
0.0,100.0,0.0
69.82,100.0,0.0
0.0,100.0,0.0
0.0,91.54,0.0
51.94,100.0,100.0
0.0,100.0,0.0
0.0,100.0,0.0
0.0,100.0,0.0
33.03,0.0,0.0
0.0,0.0,0.0
10.41,88.83,0.0
16.27,100.0,0.0
0.0,100.0,0.0
0.0,90.0,0.0
0.0,100.0,38.62
0.0,100.0,0.0
91.63,100.0,100.0
0.0,100.0,0.0
42.15,100.0,0.0
0.0,100.0,0.0
0.0,100.0,80.0
0.0,100.0,51.39
0.0,90.06,0.0
62.49,100.0,0.0
16.41,100.0,100.0
0.0,100.0,100.0
33.35,86.1,0.0
0.0,87.32,71.54
0.0,91.58,100.0
0.0,100.0,44.94
0.0,100.0,64.7
40.99,81.09,0.0
0.0,0.0,0.0
0.0,100.0,0.0
40.9,100.0,100.0
0.0,100.0,85.44
29.86,74.45,0.0
37.95,100.0,100.0
0.0,100.0,0.0
0.0,100.0,65.22
37.83,100.0,49.32
37.78,92.02,0.0
0.0,94.23,0.0
56.44,100.0,100.0
0.0,82.32,0.0
0.0,100.0,64.25
0.0,87.57,0.0
0.0,100.0,100.0
0.0,60.87,0.0
14.6,100.0,78.26
0.0,100.0,0.0
0.0,94.27,0.0
