,detection_percentage
0,100.0
1,0.0
2,100.0
3,0.0
4,0.0
5,0.0
6,0.0
7,38.93
8,100.0
9,0.0
10,0.0
11,0.0
12,100.0
13,0.0
14,73.08
15,100.0
16,0.0
17,0.0
18,95.17
19,100.0
20,0.0
21,71.85
22,100.0
23,100.0
24,100.0
25,100.0
26,100.0
27,95.12
28,0.0
29,100.0
30,71.76
31,67.47
32,0.0
33,0.0
34,100.0
35,90.08
36,0.0
37,100.0
38,100.0
39,86.7
40,88.24
41,83.54
42,0.0
43,0.0
44,100.0
45,90.48
46,0.0
47,88.51
48,0.0
49,0.0
50,39.39
51,100.0
52,0.0
53,100.0
54,69.79
55,100.0
56,100.0
57,28.41
58,0.0
59,100.0
60,83.55
61,100.0
62,40.51
63,0.0
64,0.0
65,100.0
66,0.0
67,80.28
68,100.0
69,0.0
70,100.0
71,0.0
72,0.0
73,0.0
74,100.0
75,0.0
76,100.0
77,0.0
78,100.0
79,52.53
80,100.0
81,100.0
82,100.0
83,100.0
84,90.7
85,100.0
86,96.67
87,0.0
88,100.0
89,100.0
90,0.0
91,100.0
92,0.0
93,0.0
94,100.0
95,0.0
96,73.56
97,100.0
98,82.16
99,100.0
100,0.0
101,100.0
102,91.03
103,72.15
104,54.72
105,100.0
106,0.0
107,0.0
108,0.0
109,55.4
110,0.0
111,0.0
112,0.0
113,0.0
114,37.33
115,73.46
116,77.18
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,100.0
124,54.12
125,100.0
126,22.03
127,88.39
128,100.0
129,0.0
130,0.0
131,0.0
132,82.56
133,0.0
134,39.8
135,100.0
136,52.08
137,100.0
138,0.0
139,78.52
140,100.0
141,100.0
142,0.0
143,25.68
144,0.0
145,0.0
146,0.0
147,0.0
148,100.0
149,78.45
150,0.0
151,100.0
152,100.0
153,0.0
154,86.36
155,0.0
156,0.0
157,0.0
158,100.0
159,0.0
160,86.76
161,0.0
162,100.0
163,100.0
164,100.0
165,0.0
166,100.0
167,100.0
168,0.0
169,100.0
170,100.0
171,100.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,0.0
180,56.25
181,0.0
182,100.0
183,0.0
184,0.0
185,0.0
186,100.0
187,100.0
188,100.0
189,0.0
190,100.0
191,0.0
192,100.0
193,100.0
194,58.39
195,0.0
196,0.0
197,0.0
198,100.0
199,100.0
200,0.0
201,0.0
202,0.0
203,0.0
204,0.0
205,100.0
206,0.0
207,100.0
208,94.68
209,100.0
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,100.0
217,0.0
218,100.0
219,0.0
220,0.0
221,100.0
222,94.38
223,100.0
224,100.0
225,100.0
226,100.0
227,0.0
228,100.0
229,100.0
230,0.0
231,0.0
232,87.26
233,100.0
234,0.0
235,100.0
236,0.0
237,100.0
238,0.0
239,0.0
240,0.0
241,100.0
242,0.0
243,100.0
244,100.0
245,92.0
246,0.0
247,61.36
248,100.0
249,100.0
250,0.0
251,100.0
252,100.0
253,100.0
254,0.0
255,100.0
256,0.0
257,0.0
258,100.0
259,0.0
260,100.0
261,100.0
262,0.0
263,0.0
264,0.0
265,0.0
266,100.0
267,0.0
268,43.36
269,0.0
270,100.0
271,0.0
272,100.0
273,72.81
274,100.0
275,52.17
276,100.0
277,79.02
278,100.0
279,39.68
280,0.0
281,100.0
282,100.0
283,100.0
284,0.0
285,71.64
286,0.0
287,100.0
288,0.0
289,100.0
290,0.0
291,0.0
292,0.0
293,84.13
294,0.0
295,0.0
296,0.0
297,0.0
298,0.0
299,0.0
300,0.0
301,100.0
302,100.0
303,88.0
304,81.8
305,100.0
306,0.0
307,0.0
308,100.0
309,100.0
310,0.0
311,100.0
312,0.0
313,0.0
314,45.56
315,0.0
316,100.0
317,0.0
318,79.07
319,100.0
320,0.0
321,100.0
322,0.0
323,100.0
324,100.0
325,90.98
326,0.0
327,100.0
328,59.65
329,0.0
330,100.0
331,42.65
332,100.0
333,45.21
334,100.0
335,89.15
336,88.51
337,100.0
338,100.0
339,83.97
340,0.0
341,100.0
342,100.0
343,60.64
344,100.0
345,45.83
346,100.0
347,100.0
348,100.0
349,0.0
350,84.21
351,34.07
352,0.0
353,0.0
354,100.0
355,100.0
356,100.0
357,74.68
358,96.88
359,59.28
360,0.0
361,100.0
362,100.0
363,100.0
364,0.0
365,100.0
366,0.0
367,51.69
368,100.0
369,100.0
370,0.0
371,100.0
372,100.0
373,100.0
374,100.0
375,0.0
376,0.0
377,0.0
378,100.0
379,100.0
380,100.0
381,100.0
382,0.0
383,100.0
384,100.0
385,40.19
386,0.0
387,100.0
388,68.18
389,100.0
390,0.0
391,0.0
392,100.0
393,100.0
394,0.0
395,100.0
396,0.0
397,74.17
398,0.0
399,85.54
400,0.0
401,100.0
402,0.0
403,0.0
404,14.74
405,0.0
406,0.0
407,100.0
408,100.0
409,0.0
410,0.0
411,0.0
412,100.0
413,100.0
414,0.0
415,80.0
416,100.0
417,100.0
418,100.0
419,75.11
420,0.0
421,0.0
422,50.72
423,0.0
424,100.0
425,100.0
426,38.97
427,100.0
428,0.0
429,0.0
430,0.0
431,100.0
432,89.66
433,100.0
434,73.5
435,100.0
436,100.0
437,100.0
438,100.0
439,85.52
440,0.0
441,100.0
442,100.0
443,55.22
444,83.85
445,54.19
446,74.07
447,64.71
448,100.0
449,55.28
450,0.0
451,0.0
452,96.12
453,63.57
454,100.0
455,0.0
456,0.0
457,78.02
458,93.55
459,100.0
460,73.53
461,100.0
462,0.0
463,0.0
464,100.0
465,0.0
466,98.1
467,100.0
468,0.0
469,38.44
470,0.0
471,100.0
472,91.67
473,100.0
474,92.92
475,81.76
476,0.0
477,100.0
478,70.54
479,0.0
480,63.58
481,0.0
482,35.38
483,70.86
484,100.0
485,61.19
486,91.47
487,81.58
488,100.0
489,43.43
490,100.0
491,0.0
492,100.0
493,0.0
